NationalAndStatePregnancy_PublicUse
state,year,pregnancyratelt15,pregnancyrate1517,pregnancyrate1819,pregnancyrate1519,pregnancyratelt20,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionratelt15,abortionrate1517,abortionrate1819,abortionrate1519,abortionratelt20,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthratelt15,birthrate1517,birthrate1819,birthrate1519,birthratelt20,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,abortionratiolt15,abortionratio1517,abortionratio1819,abortionratio1519,abortionratiolt20,abortionratio2024,abortionratio2529,abortionratio3034,abortionratio3539,abortionratio40plus,pregnancieslt15,pregnancies1517,pregnancies1819,pregnancies1519,pregnancieslt20,pregnancies2024,pregnancies2529,pregnancies3034,pregnancies3539,pregnancies40plus,abortionslt15,abortions1517,abortions1819,abortions1519,abortionslt20,abortions2024,abortions2529,abortions3034,abortions3539,abortions40plus,birthslt15,births1517,births1819,births1519,birthslt20,births2024,births2529,births3034,births3539,births40plus,miscarriageslt15,miscarriages1517,miscarriages1819,miscarriages1519,miscarriageslt20,miscarriages2024,miscarriages2529,miscarriages3034,miscarriages3539,miscarriages40plus,populationlt15,population1517,population1819,population1519,populationlt20,population2024,population2529,population3034,population3539,population40plus,population1544,abortionstotal,birthstotal,pregnancyratetotal,birthratetotal,abortionratetotal,abortionratiototal,miscarriagestotal,pregnanciestotal,notes,versiondate
AL,1988,21.3,78.3,155.7,110.5,114.3,186.5,152.5,87.2,31.9,6.1,8.6,24,41.8,31.4,32.9,40.5,25.4,14.5,7.4,2.2,9.9,43.3,91.4,63.3,65.1,118.3,103.8,59.3,19.8,3.1,866.5,553.6,457.2,495.6,505.6,342.2,245,245.1,376.2,709.4,610,7440,10560,18000,18610,30410,25890,14470,4820,800,250,2280,2830,5110,5360,6600,4320,2410,1120,290,285,4112,6200,10312,10597,19293,17617,9846,2987,405,80,1050,1520,2570,2660,4520,3950,2210,710,110,28846,95042,67806,162848,162848,163053,169778,165953,150994,132391,945017,20100,60745,100.5,64.3,21.3,330.9,14160,95000,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of GA, MS)",2 Oct 2020
AL,1992,23.6,76.3,173.4,116.4,120.9,184.2,155,87.2,32,6.5,8.6,19.1,38.8,27.2,28.9,38.1,22.5,12,6.9,2.1,11.7,46.1,108.9,72,74.3,118.6,108.6,61.6,20.4,3.5,734.1,415.1,356.1,378.3,389.2,321.3,207.4,195.2,336.7,596.2,700,6820,10890,17710,18410,30390,24210,14820,5380,990,250,1710,2440,4150,4400,6290,3520,2040,1150,320,347,4116,6844,10960,11307,19562,16955,10474,3428,534,90,990,1610,2610,2700,4540,3740,2300,800,140,29578,89378,62837,152215,152215,164977,156176,169904,168060,152130,963462,17720,62260,97.8,64.6,18.4,284.6,14220,94200,,2 Oct 2020
AL,1996,18.5,66.2,156.2,102.4,106,176.6,143.2,90.5,34.6,6.9,6,12.5,30.9,19.9,21,34.6,19.7,10.9,5.6,1.8,9.9,43.7,101.9,67.1,69.1,115.4,101.2,65.4,23.7,4.1,605.2,285.4,302.7,296,304.6,300.1,194.7,166.2,234.4,451.5,580,6370,10120,16490,17070,27620,22430,14650,6100,1150,190,1200,2000,3200,3390,5420,3090,1760,980,310,311,4207,6600,10807,11118,18052,15863,10595,4182,678,80,960,1520,2480,2560,4150,3480,2300,930,170,31436,96187,64756,160943,160943,156405,156680,161922,176144,167319,979413,14940,60488,90.9,61.8,15.3,247,13590,89020,,2 Oct 2020
AL,2000,11.9,53.7,140.8,89.8,92.1,186.8,158.7,96.1,37.6,7.2,3.8,9.3,24.3,15.5,16.2,29.6,20.3,10.2,5.4,1.6,6.4,36.2,95.1,60.6,61.9,128.6,113.6,70.7,26.4,4.5,585.1,256.9,255.2,255.8,262.5,229.9,178.8,144.7,202.7,358.5,370,5050,9360,14410,14780,29180,23900,14690,6500,1280,120,870,1610,2490,2610,4620,3060,1560,930,290,201,3403,6324,9727,9928,20084,17111,10806,4566,804,50,770,1430,2190,2250,4480,3730,2320,1010,190,31188,93964,66492,160456,160456,156233,150616,152816,172909,177209,970239,13060,63299,93.1,65.2,13.5,206.3,13970,90320,,2 Oct 2020
AL,2005,8.7,38.6,118.7,70.8,72.5,165.8,154.8,100.5,40.7,8.3,2.9,7,19.2,11.9,12.5,23.2,16.9,10.2,4.9,1.4,4.6,25.7,81.3,48.1,49,116.9,113.5,74.4,29.4,5.6,625.5,273.9,235.7,248,255.1,198,148.8,137,167.7,259,280,3740,7710,11440,11730,27130,22830,15040,6290,1440,90,680,1240,1930,2020,3790,2490,1530,760,250,150,2490,5281,7771,7921,19134,16743,11138,4546,971,40,570,1180,1750,1790,4210,3600,2380,990,220,32408,96757,64944,161701,161701,163672,147499,149728,154736,173653,950989,10840,60453,88.8,63.6,11.4,179.3,13170,84470,,2 Oct 2020
AL,2006,9.3,40.3,128.4,75.3,77.1,171.6,159.1,100.8,42.1,8.4,2.9,7.1,19.3,11.9,12.5,23.6,17.1,9.7,4.9,1.5,5.1,27.1,89.4,51.8,52.8,121.4,116.9,75.1,30.6,5.7,566.7,260.7,215.7,229.9,236.2,194.5,146.7,129.4,160.7,260.5,300,4000,8400,12400,12700,27950,24490,14780,6610,1440,90,700,1260,1960,2050,3840,2640,1420,770,250,163,2690,5847,8537,8700,19766,17989,11007,4804,966,40,610,1300,1900,1950,4340,3860,2340,1040,220,32100,99281,65427,164708,164708,162871,153897,146533,157188,170861,956058,10990,63232,92,66.1,11.5,173.7,13740,87960,,2 Oct 2020
AL,2007,8.6,41.3,125.3,74.9,76.6,175.1,160.7,104.5,43.2,8.3,3.2,6.8,18.1,11.3,11.9,24.1,17.6,9.9,5,1.3,4.2,28.1,87.8,52.1,52.9,123.8,117.8,78,31.4,5.7,755.7,242.6,205.5,217.5,225.8,194.8,149.1,126.6,157.8,230.5,280,4130,8390,12520,12790,28610,25140,15210,6870,1390,100,680,1210,1890,1990,3940,2750,1440,790,220,136,2815,5881,8696,8832,20228,18434,11356,4998,956,40,630,1300,1930,1970,4440,3960,2410,1080,210,32115,100067,66944,167011,167011,163425,156497,145591,159044,166904,958472,11130,64804,93.9,67.6,11.6,171.7,14070,90010,,2 Oct 2020
AL,2008,9.7,38.4,122.5,73.1,74.9,171.4,160.6,104.5,42.1,8.2,3.3,6.7,18,11.3,12,23.1,17.5,9.9,4.8,1.3,5.1,25.8,85.6,50.5,51.5,121.6,117.9,78,30.7,5.6,641.9,258.5,210,224.6,232.2,190.2,148.2,127.2,158.1,230.6,300,3810,8570,12380,12690,28160,25360,15300,6740,1330,100,660,1260,1920,2020,3800,2760,1450,780,210,160,2569,5990,8559,8719,19980,18603,11422,4906,916,40,580,1320,1900,1950,4380,4000,2430,1060,200,31534,99429,69946,169375,169375,164263,157839,146382,160006,162815,960680,11020,64546,93.2,67.2,11.5,170.7,14010,89580,,2 Oct 2020
AL,2009,9,37.4,112.7,69.2,70.8,160.6,155.3,103.8,40.4,8.6,2.6,6.4,15.5,10.2,10.7,21.9,16.3,9.6,5.2,1.4,5.1,25.4,79.8,48.3,49.2,113.8,114.5,77.7,28.8,5.9,507.9,250.3,193.9,211.1,216.7,192.6,142.3,123.8,181.8,243.7,280,3680,8070,11750,12030,26710,24530,15460,6440,1380,80,620,1110,1730,1810,3640,2570,1430,840,230,160,2493,5712,8205,8365,18918,18086,11571,4598,937,40,560,1250,1810,1850,4150,3870,2460,1000,210,31312,98244,71623,169867,169867,166287,157961,148915,159486,159544,962060,10530,62475,90,64.9,10.9,168.5,13550,86550,,2 Oct 2020
AL,2010,7.4,33.9,102.7,62.8,64.2,148.8,152.4,101.8,40.2,9.1,2.8,5.7,13.8,9.1,9.6,20.8,16,9.5,4.6,1.3,3.6,23,72.9,44,44.7,104.9,112.3,76.1,29.3,6.3,789.8,248.4,189.4,207.3,215.8,198.6,142.6,125.5,155.3,213.6,230,3280,7210,10490,10710,25170,23990,15490,6290,1440,90,550,970,1520,1610,3520,2520,1450,710,210,110,2224,5119,7343,7453,17745,17683,11578,4590,1001,30,500,1120,1620,1650,3900,3790,2460,990,220,30943,96665,70189,166854,166854,169144,157435,152162,156467,158651,960713,10030,60050,86.5,62.5,10.4,167.1,13010,83100,,2 Oct 2020
